id,title,series,author,publisher
1,怒りっぽい女,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
2,奇妙な花嫁,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
3,義眼殺人事件,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
4,門番の飼猫,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
5,夢遊病者の姪,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
6,どもりの主教,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
7,カナリヤの爪,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
8,危険な未亡人,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
9,ころがるダイス,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
10,餌のついた釣針,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
11,おとなしい共同経営者,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
12,検事他殺を主張する,ダグラス・セルビイ・シリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
13,そそっかしい小猫,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
14,傾いたローソク,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
15,殴られたブロンド,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
16,黒い金魚,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
17,五人目のブルネット,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
18,検事出廷す,ダグラス・セルビイ・シリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
19,孤独な女相続人,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
20,放浪処女事件,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
21,怪しい花婿,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
22,用心ぶかい浮気女,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
23,あわてた人魚,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
24,片目の証人,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
25,光る指先,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
26,嘲笑うゴリラ,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
27,緑色の眼の女,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
28,落着かぬ赤毛,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
29,駆け出した死体,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
30,レスター・リースの冒険,nan,E.S.ガードナー,ハヤカワ・ミステリ文庫
31,日光浴者の日記,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
32,臆病な共犯者,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
33,怯えるタイピスト,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
34,運のいい敗北者,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
35,大胆なおとり,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
36,カレンダー・ガール,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
37,恐ろしい玩具,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
38,歌うスカート,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
39,車椅子に乗った女,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
40,重婚した夫,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
41,あつかいにくいモデル,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
42,氷のような手,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
43,ブロンドの鉱脈,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
44,恋におちた伯母,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
45,不安な遺産相続人,ペリイ・メイスンシリーズ,E.S.ガードナー,ハヤカワ・ミステリ文庫
46,ビロードの爪,ペリイ・メイスンシリーズ,E.S.ガードナー,新潮文庫
47,幸運な足の娘,ペリイ・メイスンシリーズ,E.S.ガードナー,創元推理文庫
48,これは殺人だ！,nan,E.S.ガードナー,創元推理文庫
49,忘れられた殺人,nan,E.S.ガードナー,創元推理文庫
50,憑かれた夫,ペリイ・メイスンシリーズ,E.S.ガードナー,早川書房
51,埋められた時計,ペリイ・メイスンシリーズ,E.S.ガードナー,早川書房
52,もの憂げな恋人,ペリイ・メイスンシリーズ,E.S.ガードナー,早川書房
53,色っぽい幽霊,ペリイ・メイスンシリーズ,E.S.ガードナー,早川書房
54,とりすました被告,ペリイ・メイスンシリーズ,E.S.ガードナー,早川書房
55,メッキした百合,ペリイ・メイスンシリーズ,E.S.ガードナー,早川書房
56,待ち伏せていた狼,ペリイ・メイスンシリーズ,E.S.ガードナー,早川書房
57,瓜二つの娘,ペリイ・メイスンシリーズ,E.S.ガードナー,早川書房
58,無軌道な人形,ペリイ・メイスンシリーズ,E.S.ガードナー,早川書房
59,美人コンテストの女王,ペリイ・メイスンシリーズ,E.S.ガードナー,早川書房
60,悩むウェイトレス,ペリイ・メイスンシリーズ,E.S.ガードナー,早川書房
61,レッド・オクトーバーを追え(上),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
62,レッド・オクトーバーを追え(下),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
63,レッド・ストーム作戦発動(上),nan,T.クランシー,新潮文庫
64,レッド・ストーム作戦発動(下),nan,T.クランシー,新潮文庫
65,愛国者のゲーム(上),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
66,愛国者のゲーム(下),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
67,クレムリンの枢機卿(上),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
68,クレムリンの枢機卿(下),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
69,いま、そこにある危機(上),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
70,いま、そこにある危機(下),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
71,恐怖の総和(上),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
72,恐怖の総和(下),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
73,日米開戦(上),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
74,日米開戦(下),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
75,容赦なく(上),nan,T.クランシー,新潮文庫
76,容赦なく(下),nan,T.クランシー,新潮文庫
77,合衆国崩壊１,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
78,合衆国崩壊２,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
79,合衆国崩壊３,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
80,合衆国崩壊４,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
81,レインボー・シックス１,nan,T.クランシー,新潮文庫
82,レインボー・シックス２,nan,T.クランシー,新潮文庫
83,レインボー・シックス３,nan,T.クランシー,新潮文庫
84,レインボー・シックス４,nan,T.クランシー,新潮文庫
85,教皇暗殺１,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
86,教皇暗殺２,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
87,教皇暗殺３,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
88,教皇暗殺４,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
89,国際テロ(上),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
90,国際テロ(下),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
91,デッド・オア・アライヴ(1),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
92,デッド・オア・アライヴ(2),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
93,デッド・オア・アライヴ(3),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
94,デッド・オア・アライヴ(4),ジャック・ライアンシリーズ,T.クランシー,新潮文庫
95,ライアンの代価1,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
96,ライアンの代価2,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
97,ライアンの代価3,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
98,ライアンの代価4,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
99,米中開戦1,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
100,米中開戦2,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
101,米中開戦3,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
102,米中開戦4,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
103,米露開戦1,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
104,米露開戦2,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
105,米露開戦3,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
106,米露開戦4,ジャック・ライアンシリーズ,T.クランシー,新潮文庫
107,猫は殺しをかぎつける,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
108,猫は手がかりを読む,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
109,猫はソファをかじる,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
110,猫はスイッチを入れる,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
111,猫は１４の謎をもつ,nan,リリアン.J.ブラウン,ハヤカワ文庫
112,猫はシェイクスピアを知っている,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
113,猫は糊をなめる,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
114,猫は床下にもぐる,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
115,猫は幽霊と話す,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
116,猫はペントハウスに住む,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
117,猫は鳥を見つめる,シャム猫ココシリーズ,リリアン.J.ブラウン,ハヤカワ文庫
